OrderID,OrderDate,ShipDate,CustomerName,Segment,Region,Category,Product,Quantity,Discount,Sales,Profit,ShipMode,ShippingDays,OrderMonth,ProfitMargin
ORD-10001,2024-04-12,2024-04-16,Ananya Reddy,Consumer,West,Beauty,Hair Dryer,3,0.05,1898.1,379.62,Same Day,4,2024-04,0.2
ORD-10002,2025-05-06,2025-05-12,Arjun Mehta,Consumer,West,Furniture,Bookshelf,5,0.05,90573.0,14491.68,Standard,6,2025-05,0.16
ORD-10003,2024-07-08,2024-07-14,Kavya Khan,Corporate,Central,Clothing,Sneakers,5,0.05,15575.25,3582.31,Standard,6,2024-07,0.23
ORD-10004,2024-12-11,2024-12-16,Ananya Verma,Consumer,West,Furniture,Bookshelf,3,0.2,56088.0,5608.8,Standard,5,2024-12,0.1
ORD-10005,2024-04-15,2024-04-19,Zara Rao,Consumer,North,Beauty,Perfume,4,0.1,7851.6,1413.29,Standard,4,2024-04,0.18
ORD-10006,2024-10-22,2024-10-27,Neha Kapoor,Consumer,West,Beauty,Perfume,4,0.05,3659.4,731.88,Same Day,5,2024-10,0.2
ORD-10007,2024-12-09,2024-12-10,Kabir Das,Small Business,North,Groceries,Snacks Combo,3,0.0,1554.0,124.32,Express,1,2024-12,0.08
ORD-10008,2024-02-02,2024-02-09,Tanvi Gupta,Corporate,North,Beauty,Hair Dryer,3,0.15,7293.0,1166.88,Standard,7,2024-02,0.16
ORD-10009,2025-04-05,2025-04-08,Ananya Kapoor,Consumer,North,Electronics,Smartwatch,5,0.05,267273.0,26727.3,Standard,3,2025-04,0.1
ORD-10010,2025-07-31,2025-08-02,Priya Chatterjee,Small Business,West,Beauty,Skincare Kit,4,0.05,7003.4,1400.68,Standard,2,2025-07,0.2
ORD-10011,2024-08-12,2024-08-13,Diya Sharma,Consumer,North,Electronics,Headphones,3,0.05,25011.6,2501.16,Same Day,1,2024-08,0.1
ORD-10012,2025-01-08,2025-01-09,Diya Sharma,Consumer,Central,Groceries,Rice Pack,2,0.1,1193.4,47.74,Same Day,1,2025-01,0.04
ORD-10013,2024-08-07,2024-08-13,Ananya Gupta,Consumer,West,Beauty,Skincare Kit,2,0.25,2860.5,343.26,Express,6,2024-08,0.12
ORD-10014,2024-10-06,2024-10-11,Ishaan Chatterjee,Corporate,North,Groceries,Cooking Oil,1,0.0,851.0,68.08,Express,5,2024-10,0.08
ORD-10015,2025-02-06,2025-02-08,Priya Joshi,Consumer,West,Clothing,Jacket,2,0.15,3627.8,689.28,Standard,2,2025-02,0.19
ORD-10016,2024-10-24,2024-10-27,Neha Singh,Corporate,South,Groceries,Cooking Oil,4,0.1,363.6,14.54,Express,3,2024-10,0.04
ORD-10017,2024-05-31,2024-06-06,Aditya Singh,Consumer,North,Electronics,Smartwatch,3,0.05,42390.9,4239.09,Standard,6,2024-05,0.1
ORD-10018,2024-06-11,2024-06-16,Meera Gupta,Consumer,West,Electronics,Smartwatch,4,0.05,101596.8,10159.68,Standard,5,2024-06,0.1
ORD-10019,2025-04-14,2025-04-21,Vihaan Chatterjee,Consumer,Central,Beauty,Hair Dryer,5,0.05,2018.75,403.75,Standard,7,2025-04,0.2
ORD-10020,2025-05-30,2025-06-02,Diya Reddy,Corporate,South,Electronics,Smartphone,3,0.1,157925.7,12634.06,Standard,3,2025-05,0.08
ORD-10021,2025-11-30,2025-12-01,Aditya Reddy,Consumer,North,Groceries,Dairy Pack,2,0.1,2311.2,92.45,Express,1,2025-11,0.04
ORD-10022,2025-10-24,2025-10-26,Aditya Verma,Small Business,Central,Clothing,Jeans,5,0.0,5920.0,1480.0,Standard,2,2025-10,0.25
ORD-10023,2024-02-05,2024-02-10,Vivaan Verma,Corporate,East,Groceries,Rice Pack,3,0.0,2259.0,180.72,Standard,5,2024-02,0.08
ORD-10024,2025-11-28,2025-12-05,Aarav Reddy,Consumer,West,Beauty,Perfume,3,0.0,3831.0,842.82,Express,7,2025-11,0.22
ORD-10025,2024-07-14,2024-07-20,Om Malhotra,Consumer,North,Beauty,Makeup Kit,5,0.25,10886.25,1306.35,Standard,6,2024-07,0.12
ORD-10026,2024-02-27,2024-03-05,Aarav Das,Consumer,Central,Furniture,Bed Frame,1,0.1,8827.2,1235.81,Standard,7,2024-02,0.14
ORD-10027,2024-04-27,2024-04-28,Aditya Joshi,Consumer,East,Beauty,Trimmer,5,0.1,7515.0,1352.7,Standard,1,2024-04,0.18
ORD-10028,2024-10-11,2024-10-17,Zara Patel,Consumer,East,Groceries,Dairy Pack,4,0.0,4228.0,338.24,Standard,6,2024-10,0.08
ORD-10029,2024-01-23,2024-01-25,Saanvi Khan,Small Business,West,Furniture,Bed Frame,1,0.05,4131.55,661.05,Same Day,2,2024-01,0.16
ORD-10030,2024-06-08,2024-06-11,Aditya Sharma,Small Business,Central,Groceries,Beverages,3,0.2,2534.4,-0.0,Standard,3,2024-06,-0.0
ORD-10031,2025-01-31,2025-02-04,Vivaan Iyer,Consumer,South,Furniture,Bed Frame,5,0.15,15223.5,1826.82,Express,4,2025-01,0.12
ORD-10032,2025-05-07,2025-05-10,Zara Khan,Corporate,South,Beauty,Makeup Kit,3,0.25,5487.75,658.53,Standard,3,2025-05,0.12
